State	Date	Action Taken
Arizona	2021/5/28	 The Arizona Department of Corrections, Rehabilitation, and Reentry announced on May 27 that in-person visits would resume at correctional facilities beginning June 19. Inmates will be allowed up to three visitors - two adults and one minor. Additionally, attorney visits and in-person volunteer activities will also be allowed.
Arizona	2021/6/4	 On June 3, the Arizona Health Department announced state-run vaccination sites would be closing by June 28. Vaccines will continue to be administered after that date at pharmacies, doctors’ offices, community health centers, and pop-up vaccination sites.
Arizona	2021/6/16	 Gov. Doug Ducey (R) signed an executive order prohibiting vaccination and mask requirements at public universities and community colleges.
Arizona	2021/6/21	 In-person visits resumed at correctional facilities June 19. Inmates are allowed up to three visitors - two adults and one minor. Additionally, attorney visits and in-person volunteer activities will be allowed.
Arizona	2021/7/13	 The state stopped participating in pandemic-related federal unemployment benefit programs on July 10. Gov. Doug Ducey (R) made the announcement May 13.
Arizona	2021/7/29	 On July 28, Arizona Department of Health Services Director Cara Christ announced the state would adopt recent CDC guidance recommending all vaccinated and unvaccinated individuals wear masks in public indoor settings located in areas with substantial and high coronavirus transmission rates.
Arkansas	2020/5/4	 Gyms and fitness centers can reopen Monday. Gov. Asa Hutchinson (R) said gyms must screen staff before work and require patrons to maintain a distance of 12 feet. Arkansas is a Republican trifecta.
Arkansas	2020/5/8	 Gov. Asa Hutchinson (R) announced that the state's six casinos could reopen beginning May 18. The casinos will only be allowed to open at 33% capacity and must follow social distancing guidelines.
Arkansas	2020/5/15	 Gov. Asa Hutchinson (R) announced the state would not be ready to move to phase two of the state’s reopening plan on May 18 as originally anticipated. The announcement came after the state saw an increase in patients and hospitalizations in the last two days.
Arkansas	2020/5/27	 A directive from the state Department of Health took effect on May 26 allowing bars to reopen. Bars may operate at 33% of seating capacity with social distancing guidelines for table service and bar service. Patrons must wear a mask until food or drink is served.
Arkansas	2020/6/1	 The Arkansas Department of Health announced that community and school-sponsored team sports could resume beginning June 1. Bands are allowed to resume marching activities without wind instruments. College athletics are not included in this reopening.
Arkansas	2020/6/5	 Gov. Asa Hutchinson (R) announced the state would be split into five regions for Phase Two of reopening. Hutchinson said a region will have to show no evidence of an increase in coronavirus cases to proceed to phase two.
Arkansas	2020/6/11	 Gov. Asa Hutchinson (R) announced the state would enter Phase Two of its reopening plan on June 15. Phase Two will allow businesses with a capacity limit to increase that limit, although they will not be allowed to operate at full capacity. Hutchinson also said he expects schools to re-open to in-person instruction in the fall.
Arkansas	2020/6/15	 The state entered into Phase Two of its reopening plan. Phase Two allows open businesses with a capacity limit to increase that limit, although they are not allowed to operate at full capacity.
Arkansas	2020/6/18	 Gov. Asa Hutchinson (R) announced that long-term care facilities could accept visitors beginning July 1. Facilities will have to meet state guidelines to accept visitors.
Arkansas	2020/6/26	 Gov. Asa Hutchinson (R) announced that the state would not proceed with a new phase of its reopening, citing the increase in the number of positive coronavirus cases.
Arkansas	2020/7/10	 Gov. Asa Hutchinson (R) announced that the reopening of schools would be delayed until Aug. 24. Schools were previously set to open Aug. 13.
Arkansas	2020/7/16	 Gov. Asa Hutchinson (R) signed an executive order requiring individuals to wear masks in public when social distancing is not possible. The order will take effect on July 20.
